algorithm,list_size,time,comparisons,spearman,classification_error,min_time,relative_overhead
heap_sort,8,1.52587890625e-05,24,0.1385542168674698,6,9.775161743164062e-06,56.09756097560976
merge_sort,8,1.6689300537109375e-05,16,0.1385542168674698,6,9.775161743164062e-06,70.73170731707317
corsort,8,0.0019500255584716,15,-0.261904761904762,8,9.775161743164062e-06,19848.780487804062
multizip_sort,8,9.608268737792967e-05,14,-0.261904761904762,8,9.775161743164062e-06,882.9268292682925
quick_sort,8,1.3113021850585938e-05,14,-0.261904761904762,8,9.775161743164062e-06,34.14634146341464
heap_sort,8,1.4066696166992188e-05,23,-0.261904761904762,8,9.775161743164062e-06,43.90243902439024
merge_sort,8,1.5974044799804688e-05,17,-0.261904761904762,8,9.775161743164062e-06,63.414634146341456
corsort,8,0.0019612312316894,16,-0.2857142857142857,7,9.775161743164062e-06,19963.4146341458
multizip_sort,8,9.608268737792967e-05,21,-0.2857142857142857,7,9.775161743164062e-06,882.9268292682925
quick_sort,8,1.1920928955078123e-05,21,-0.2857142857142857,7,9.775161743164062e-06,21.951219512195095
