algorithm,list_size,time,comparisons,spearman,classification_error
quick_sort,8,1.4781951904296875e-05,16,0.13855421686746988,6
heap_sort,8,1.52587890625e-05,24,0.13855421686746988,6
merge_sort,8,1.6689300537109375e-05,16,0.13855421686746988,6
corsort,8,0.0019500255584716797,15,-0.261904761904762,8
multizip_sort,8,9.608268737792969e-05,14,-0.261904761904762,8
quick_sort,8,1.3113021850585938e-05,14,-0.261904761904762,8
heap_sort,8,1.4066696166992188e-05,23,-0.261904761904762,8
merge_sort,8,1.5974044799804688e-05,17,-0.261904761904762,8
corsort,8,0.001961231231689453,16,-0.28571428571428575,7
multizip_sort,8,9.608268737792969e-05,21,-0.28571428571428575,7
quick_sort,8,1.1920928955078125e-05,21,-0.28571428571428575,7
heap_sort,8,1.5020370483398438e-05,27,-0.28571428571428575,7
merge_sort,8,1.621246337890625e-05,16,-0.28571428571428575,7
corsort,8,0.0018949508666992188,15,-0.2380952380952381,5
multizip_sort,8,0.00011301040649414062,22,-0.2380952380952381,5
quick_sort,8,1.2874603271484375e-05,22,-0.2380952380952381,5
heap_sort,8,1.52587890625e-05,24,-0.2380952380952381,5
merge_sort,8,1.6927719116210938e-05,17,-0.2380952380952381,5
corsort,8,0.0020589828491210938,15,0.2380952380952381,8
multizip_sort,8,9.870529174804688e-05,15,0.2380952380952381,8
quick_sort,8,1.3828277587890625e-05,15,0.2380952380952381,8
heap_sort,8,1.621246337890625e-05,26,0.2380952380952381,8
merge_sort,8,1.621246337890625e-05,16,0.2380952380952381,8
corsort,8,0.0018239021301269531,14,-0.7142857142857144,7
multizip_sort,8,9.894371032714844e-05,14,-0.7142857142857144,7
quick_sort,8,1.1920928955078125e-05,14,-0.7142857142857144,7
heap_sort,8,1.3113021850585938e-05,24,-0.7142857142857144,7
merge_sort,8,1.5974044799804688e-05,13,-0.7142857142857144,7
corsort,8,0.002007007598876953,16,0.38095238095238104,6
multizip_sort,8,9.965896606445312e-05,26,0.38095238095238104,6
quick_sort,8,1.4781951904296875e-05,26,0.38095238095238104,6
heap_sort,8,1.5974044799804688e-05,26,0.38095238095238104,6
merge_sort,8,1.6927719116210938e-05,16,0.38095238095238104,6
corsort,8,0.001977682113647461,15,-0.261904761904762,7
multizip_sort,8,0.00010013580322265625,14,-0.261904761904762,7
quick_sort,8,1.3113021850585938e-05,14,-0.261904761904762,7
heap_sort,8,1.5020370483398438e-05,25,-0.261904761904762,7
merge_sort,8,1.5974044799804688e-05,15,-0.261904761904762,7
corsort,8,0.0020627975463867188,16,0.36746987951807225,7
multizip_sort,8,0.00010013580322265625,18,0.36746987951807225,7
quick_sort,8,1.4066696166992188e-05,18,0.36746987951807225,7
heap_sort,8,1.4781951904296875e-05,27,0.36746987951807225,7
merge_sort,8,1.5974044799804688e-05,16,0.36746987951807225,7
corsort,8,0.001863241195678711,15,-0.4285714285714286,8
multizip_sort,8,9.799003601074219e-05,15,-0.4285714285714286,8
quick_sort,8,1.1682510375976562e-05,15,-0.4285714285714286,8
heap_sort,8,1.4781951904296875e-05,24,-0.4285714285714286,8
merge_sort,8,1.621246337890625e-05,15,-0.4285714285714286,8
corsort,8,0.002000093460083008,14,-0.37951807228915657,7
multizip_sort,8,0.00010800361633300781,22,-0.37951807228915657,7
quick_sort,8,1.4066696166992188e-05,22,-0.37951807228915657,7
heap_sort,8,1.5020370483398438e-05,26,-0.37951807228915657,7
merge_sort,8,1.621246337890625e-05,14,-0.37951807228915657,7
corsort,8,0.002135753631591797,16,0.3915662650602409,5
multizip_sort,8,0.00010204315185546875,24,0.3915662650602409,5
